feature,importance_RMSE_worsening
Applied vertical stress (kPa),2.149590575904038
Lime (%),0.9271221450310808
Gypsum content (%),0.62436661411075
Silica fume (%),0.49247918358163645
Degree of Saturation (%),0.06799985161506435
Suction (kPa),0.01623634584088336
