Feature,Coefficient
Suction (kPa),1.0559998994648507
Silica fume (%),-0.7247534770696642
Lime (%),-0.7152778143457708
Gypsum content (%),0.00961448839003636
Applied vertical stress (kPa),-9.645113573386949
Degree of Saturation (%),-1.1110075746357577
