epoch,train_mse,val_mse
1,179.77783222358767,308.9371337890625
2,138.4828112946839,210.56251525878906
3,86.74208748440783,95.8463363647461
4,84.07613067199536,53.82038497924805
5,68.56587473551433,77.66001892089844
6,63.03631923045097,105.91567993164062
7,59.852558146671754,73.6598892211914
8,42.89074728402103,39.289432525634766
9,40.12117099494827,31.65313148498535
10,42.00629468859077,42.99660873413086
11,38.72086844457632,47.20787811279297
12,32.52943983799269,30.314369201660156
13,32.668738867388385,21.816471099853516
14,31.379334756974078,43.39211654663086
15,31.146681200556394,38.67170333862305
16,49.79325161461069,29.258464813232422
17,32.6288526091589,61.36973571777344
18,34.17486380061516,50.51719284057617
19,35.20886518975266,32.38364791870117
20,24.973024576651948,16.526308059692383
21,32.986988377504325,17.818822860717773
22,25.906659927688725,40.97666931152344
23,25.866776223276176,40.134124755859375
24,38.54687937033945,20.612476348876953
25,26.35667119173109,17.812347412109375
26,30.848816826230003,19.274314880371094
27,25.71100890669836,21.408275604248047
28,30.262760910333373,26.98008918762207
29,33.57834152414017,29.480791091918945
30,26.49876524821049,28.21554183959961
31,33.18538936647047,18.354915618896484
32,22.54917670498375,21.976951599121094
33,35.83782146357689,30.31106948852539
34,22.549121723121623,24.7703914642334
35,33.68119237670044,27.073162078857422
36,35.58587121829933,29.27806854248047
37,28.269985605020818,23.131526947021484
38,28.459497628091764,21.889211654663086
39,24.21632590414095,11.679388999938965
40,33.66944632944273,29.260074615478516
41,29.150552808403635,40.43165588378906
42,22.674075882641876,31.27965545654297
43,28.759011965839804,22.222572326660156
44,29.709202838545085,29.922643661499023
45,24.81245714876832,25.42200469970703
46,20.426720883665965,26.908132553100586
47,33.09977997851973,31.33506965637207
48,35.652006325601526,25.381031036376953
49,26.983637670842874,15.743208885192871
50,21.62866478073163,13.266973495483398
51,34.4554430857426,16.33707046508789
52,27.09745146380085,37.53376007080078
53,25.39730020731437,22.974145889282227
54,26.7067941617565,11.1788911819458
55,23.29573282941717,28.849119186401367
56,28.682734323816806,33.48673629760742
57,28.629780317888873,24.944499969482422
58,27.37543054789054,8.866050720214844
59,32.26014658850448,20.838043212890625
60,29.523305396072004,43.197784423828125
61,27.391136436569255,29.58582305908203
62,24.085714687486323,19.118560791015625
63,28.483240357300147,21.614938735961914
64,22.436199284401262,22.728036880493164
65,27.626429376148042,12.903691291809082
66,15.913022507472533,8.709752082824707
67,19.359133584158762,17.6739444732666
68,24.50350633188456,41.884830474853516
69,24.238973836604956,24.050661087036133
70,20.55250173189393,16.340116500854492
71,23.727193608003503,25.888978958129883
72,21.536647823344424,13.794488906860352
73,17.360658554803756,7.447704315185547
74,24.209963870649577,21.864492416381836
75,19.90771645190669,16.132492065429688
76,19.55204470084161,10.004379272460938
77,18.779398744513674,17.343320846557617
78,18.36072261393571,21.54381561279297
79,32.84042518679835,5.261214256286621
80,10.956557816150141,25.33368492126465
81,20.328900767307655,32.602256774902344
82,20.17819104341566,7.604611873626709
83,20.1335641449573,14.004140853881836
84,34.51699956525274,38.43525695800781
85,31.314218323437775,9.18552017211914
86,19.472736291858663,11.503068923950195
87,25.649529283454104,17.638004302978516
88,24.5823590454935,16.046836853027344
89,24.75199653855225,16.50111961364746
90,19.008867215709525,15.53598690032959
91,25.248189065970628,16.309059143066406
92,17.397923787434895,11.549975395202637
93,12.200693034324326,8.290088653564453
94,30.854348123908377,13.137496948242188
95,17.760674049206475,8.659038543701172
96,18.77063886090821,6.6849565505981445
97,20.434835642325776,10.552179336547852
98,18.505107213135194,6.757262706756592
99,23.010770215373746,20.775123596191406
100,16.88103844672024,4.6737895011901855
101,28.529966893984156,8.598929405212402
102,17.688267283079004,18.11250877380371
103,23.261417792290867,9.175039291381836
104,15.633169291734028,11.657419204711914
105,16.735610697449758,12.426552772521973
106,16.67739755967084,4.419192314147949
107,29.137970937734224,16.496946334838867
108,16.492224151012945,13.197403907775879
109,29.23771312190037,9.79550838470459
110,22.225263544825278,19.993064880371094
111,20.57597971162876,8.857845306396484
112,16.084085913265454,16.225736618041992
113,21.24012975933171,8.558652877807617
114,19.282981755018902,9.790770530700684
115,16.704522322873775,13.816960334777832
116,20.04627608184387,34.99162292480469
117,22.198115884422922,4.412850856781006
118,19.429586661629983,5.298037052154541
119,18.776014774119485,11.766730308532715
120,25.341259088168957,8.803576469421387
121,17.662666871100246,14.81513500213623
122,16.984507773102834,8.495993614196777
123,12.050541773563674,16.939374923706055
124,21.281860122827588,15.596535682678223
125,16.33994397395799,6.101839542388916
126,23.244642203595458,4.294672966003418
127,18.080725782725658,11.504194259643555
128,16.49315521229549,9.314117431640625
129,16.623892850902568,2.0782101154327393
130,13.979905232661912,10.131525993347168
131,10.3237016741969,18.065176010131836
132,17.350870681076156,6.809654712677002
133,15.134537533885625,4.458674430847168
134,10.001486693109785,5.046319007873535
135,18.102170018922713,13.851173400878906
136,7.540850336812124,13.515233993530273
137,10.118582682783197,5.539139270782471
138,15.814545676821755,11.716217994689941
139,20.92750047134752,18.769084930419922
140,16.7845901895304,9.621458053588867
141,14.524726440258721,1.637336015701294
142,16.526754685142794,12.927108764648438
143,16.42573049956677,18.432571411132812
144,11.91896916905037,10.642849922180176
145,11.945988116811971,4.04299783706665
146,14.75248653080617,12.65573501586914
147,12.006556786075025,6.245100975036621
148,15.555583793576025,7.310482501983643
149,12.534414931171748,6.964849472045898
150,13.466609638946062,14.50753116607666
151,16.871161992476434,6.731118202209473
152,20.34824512051601,3.8754000663757324
153,12.433667397966571,3.0700128078460693
154,13.585661762568797,12.551177978515625
155,8.5479844731777,8.686573028564453
156,9.810229728535777,5.502445697784424
157,15.087809744335356,8.081733703613281
158,9.211503743457527,2.9663703441619873
159,15.727385926981267,5.472304821014404
160,8.624492591836539,8.453153610229492
161,9.27674801743665,4.460059642791748
162,10.642886452982072,4.754421710968018
163,8.614359275967468,16.109573364257812
164,18.058099199075993,8.68345832824707
165,9.4908531092796,5.426080703735352
166,13.084300594169553,18.60895347595215
167,17.755941610042456,10.6532621383667
168,12.743582087070669,5.389501571655273
169,15.038847092486897,17.064231872558594
170,14.700514977719603,10.56235122680664
171,9.528026335045737,3.8181793689727783
172,10.10532348029086,5.894284248352051
173,15.810023972968093,7.957241535186768
174,11.618068807265338,11.052793502807617
175,12.77805902577248,8.821625709533691
176,15.449164960731645,8.608906745910645
177,9.054181176407331,10.669618606567383
178,10.352255435216994,7.919549465179443
179,13.049462577542004,8.943005561828613
180,13.930186637643338,6.429294586181641
181,12.290643905725132,5.293395519256592
182,7.965409751699752,7.93082332611084
183,12.849438360091352,7.431357383728027
184,25.83947832978406,6.081967353820801
185,9.122604191136293,12.072922706604004
186,8.817254015711509,4.320671081542969
187,13.536907061141411,7.238576412200928
188,8.627127858437076,17.026878356933594
189,15.770542804600478,13.888306617736816
190,13.268387268237372,4.92265510559082
191,12.509371439615885,6.704619884490967
