mfs_per_feature,learning_rate,mean_cv_RMSE,std_cv_RMSE
3,0.002,9.657617031843337,1.5557047651264977
2,0.002,10.203427317041713,1.4041209992246544
3,0.001,12.255696611737187,1.7537603518852394
2,0.001,12.796835275362426,2.1869283938862702
3,0.0005,13.764632978060549,2.0468277695626576
2,0.0005,13.77817507685738,2.0327892857416106
