Model,RMSE,MAE,R2
GA-ANN,1.2202871831884439,0.6177390646335704,0.9922375433255433
ANN,8.15766095940209,3.892742313314934,0.6530983282212104
RFR,2.8681383179845903,1.044127971773677,0.9571179762694013
